City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (Inches),Snow (Inches),Date
0,Bonfim,BR,3.08,-59.95,87.37,61,96,4.9,light rain,0.0,0.0,2020-07-09 20:21:58
1,Victoria,HK,22.29,114.16,86.0,74,100,11.01,overcast clouds,0.0,0.0,2020-07-09 20:21:58
2,Cape Town,ZA,-33.93,18.42,55.0,93,75,6.93,moderate rain,0.1,0.0,2020-07-09 20:21:13
3,Manicore,BR,-5.81,-61.3,89.6,55,20,5.82,few clouds,0.0,0.0,2020-07-09 20:21:58
4,Hobart,AU,-42.88,147.33,37.4,93,20,6.93,light snow,0.0,0.0,2020-07-09 20:18:13
5,Ushuaia,AR,-54.8,-68.3,37.4,64,40,5.82,scattered clouds,0.0,0.0,2020-07-09 20:21:59
6,Aloleng,PH,16.13,119.78,82.74,80,99,7.11,light rain,0.0,0.0,2020-07-09 20:21:59
7,Iracoubo,GF,5.48,-53.2,81.82,78,35,6.2,light rain,0.0,0.0,2020-07-09 20:21:59
8,Porbandar,IN,21.64,69.61,84.0,82,31,19.44,light rain,0.0,0.0,2020-07-09 20:21:59
9,Makakilo City,US,21.35,-158.09,84.2,58,75,9.17,broken clouds,0.0,0.0,2020-07-09 20:21:59
10,New Norfolk,AU,-42.78,147.06,35.01,92,38,1.83,scattered clouds,0.0,0.0,2020-07-09 20:22:00
11,Bluff,NZ,-46.6,168.33,49.69,81,100,15.97,light rain,0.0,0.0,2020-07-09 20:22:00
12,Cherskiy,RU,68.75,161.3,53.98,89,99,5.91,overcast clouds,0.0,0.0,2020-07-09 20:22:00
13,Okoneshnikovo,RU,54.84,75.08,68.88,93,100,8.99,overcast clouds,0.0,0.0,2020-07-09 20:22:00
14,Katsuura,JP,35.13,140.3,75.0,96,100,5.01,overcast clouds,0.0,0.0,2020-07-09 20:22:00
15,Castro,BR,-24.79,-50.01,54.86,65,100,3.4,overcast clouds,0.0,0.0,2020-07-09 20:22:01
16,Saint-Philippe,RE,-21.36,55.77,69.8,83,20,25.28,few clouds,0.0,0.0,2020-07-09 20:22:01
17,Saskylakh,RU,71.92,114.08,48.33,72,0,9.69,clear sky,0.0,0.0,2020-07-09 20:22:01
18,Sao Joao Da Barra,BR,-21.64,-41.05,75.2,73,0,23.04,clear sky,0.0,0.0,2020-07-09 20:22:01
19,Berlevag,NO,70.86,29.09,46.4,93,75,18.34,broken clouds,0.0,0.0,2020-07-09 20:22:01
20,Rikitea,PF,-23.12,-134.97,68.0,65,15,18.25,few clouds,0.0,0.0,2020-07-09 20:22:02
21,Bredasdorp,ZA,-34.53,20.04,55.4,76,100,18.34,light rain,0.0,0.0,2020-07-09 20:22:02
22,Lavrentiya,RU,65.58,-171.0,49.46,79,2,3.38,clear sky,0.0,0.0,2020-07-09 20:22:02
23,Yellowknife,CA,62.46,-114.35,70.0,45,75,9.17,shower rain,0.0,0.0,2020-07-09 20:18:47
24,Ixhuatan,MX,16.36,-94.48,97.99,44,89,2.98,overcast clouds,0.0,0.0,2020-07-09 20:22:02
25,Georgetown,MY,5.41,100.34,80.6,94,40,3.36,scattered clouds,0.0,0.0,2020-07-09 20:22:03
26,Coquimbo,CL,-29.95,-71.34,60.8,59,83,11.41,broken clouds,0.0,0.0,2020-07-09 20:17:17
27,Nikolskoye,RU,59.7,30.79,57.99,76,20,6.71,few clouds,0.0,0.0,2020-07-09 20:22:03
28,Mataura,NZ,-46.19,168.86,41.99,92,100,5.39,overcast clouds,0.0,0.0,2020-07-09 20:22:03
29,Bambous Virieux,MU,-20.34,57.76,72.0,73,75,14.99,broken clouds,0.0,0.0,2020-07-09 20:22:03
