City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (Inches),Snow (Inches),Date
0,Bonfim,BR,3.08,-59.95,87.37,61,96,4.9,light rain,0.0,0.0,2020-07-09 20:21:58
1,Victoria,HK,22.29,114.16,86.0,74,100,11.01,overcast clouds,0.0,0.0,2020-07-09 20:21:58
3,Manicore,BR,-5.81,-61.3,89.6,55,20,5.82,few clouds,0.0,0.0,2020-07-09 20:21:58
6,Aloleng,PH,16.13,119.78,82.74,80,99,7.11,light rain,0.0,0.0,2020-07-09 20:21:59
7,Iracoubo,GF,5.48,-53.2,81.82,78,35,6.2,light rain,0.0,0.0,2020-07-09 20:21:59
8,Porbandar,IN,21.64,69.61,84.0,82,31,19.44,light rain,0.0,0.0,2020-07-09 20:21:59
9,Makakilo City,US,21.35,-158.09,84.2,58,75,9.17,broken clouds,0.0,0.0,2020-07-09 20:21:59
14,Katsuura,JP,35.13,140.3,75.0,96,100,5.01,overcast clouds,0.0,0.0,2020-07-09 20:22:00
18,Sao Joao Da Barra,BR,-21.64,-41.05,75.2,73,0,23.04,clear sky,0.0,0.0,2020-07-09 20:22:01
25,Georgetown,MY,5.41,100.34,80.6,94,40,3.36,scattered clouds,0.0,0.0,2020-07-09 20:22:03
32,Hilo,US,19.73,-155.09,80.6,69,75,5.82,broken clouds,0.0,0.0,2020-07-09 20:20:01
36,Avarua,CK,-21.21,-159.78,75.2,69,61,8.05,broken clouds,0.0,0.0,2020-07-09 20:18:47
38,Mayo,US,38.89,-76.51,89.01,62,1,9.17,clear sky,0.0,0.0,2020-07-09 20:22:05
41,Butaritari,KI,3.07,172.79,83.21,77,5,13.62,light rain,0.0,0.0,2020-07-09 20:22:06
42,Atuona,PF,-9.8,-139.03,79.77,77,4,16.37,clear sky,0.0,0.0,2020-07-09 20:22:06
43,Kapaa,US,22.08,-159.32,80.6,78,75,12.75,light rain,0.0,0.0,2020-07-09 20:22:06
48,Zaria,NG,11.11,7.72,77.58,71,99,6.71,overcast clouds,0.0,0.0,2020-07-09 20:22:07
52,Kahului,US,20.89,-156.47,86.0,55,40,20.8,scattered clouds,0.0,0.0,2020-07-09 20:22:08
53,Vilhena,BR,-12.74,-60.15,86.0,35,40,6.93,scattered clouds,0.0,0.0,2020-07-09 20:22:08
60,Taoyuan,CN,32.3,120.62,75.0,99,85,1.01,overcast clouds,0.0,0.0,2020-07-09 20:22:09
67,Port-Gentil,GA,-0.72,8.78,77.0,83,90,9.17,overcast clouds,0.0,0.0,2020-07-09 20:19:04
69,Tautira,PF,-17.73,-149.15,80.6,61,20,3.36,few clouds,0.0,0.0,2020-07-09 20:22:11
74,Bethel,US,41.37,-73.41,89.01,58,1,6.93,clear sky,0.0,0.0,2020-07-09 20:22:12
77,Hithadhoo,MV,-0.6,73.08,84.69,71,91,5.68,overcast clouds,0.0,0.0,2020-07-09 20:22:12
84,Cabedelo,BR,-6.98,-34.83,78.8,83,40,10.29,scattered clouds,0.0,0.0,2020-07-09 20:22:14
87,Yen Bai,VN,21.7,104.87,81.97,67,100,2.28,overcast clouds,0.0,0.0,2020-07-09 20:17:54
96,Kalmunai,LK,7.42,81.82,79.38,84,84,8.5,broken clouds,0.0,0.0,2020-07-09 20:22:16
99,Kailua,US,21.4,-157.74,84.2,65,75,11.41,broken clouds,0.0,0.0,2020-07-09 20:22:16
101,Naze,JP,28.37,129.48,82.4,94,75,9.17,broken clouds,0.0,0.0,2020-07-09 20:22:17
103,El Tigre,VE,8.89,-64.25,88.43,50,42,12.68,scattered clouds,0.0,0.0,2020-07-09 20:22:17
