City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (Inches),Snow (Inches),Date
0,Mataura,NZ,-46.19,168.86,41.38,91,100,5.75,overcast clouds,0.0,0.0,2020-07-09 18:44:51
1,Hambantota,LK,6.12,81.12,78.8,100,40,3.36,scattered clouds,0.0,0.0,2020-07-09 18:44:51
2,Laguna,US,38.42,-121.42,84.99,43,0,1.01,clear sky,0.0,0.0,2020-07-09 18:44:51
3,Lebu,CL,-37.62,-73.65,53.69,93,100,24.94,light rain,0.0,0.0,2020-07-09 18:44:51
4,Mahebourg,MU,-20.41,57.7,71.6,68,75,17.22,light intensity shower rain,0.0,0.0,2020-07-09 18:44:52
5,Avarua,CK,-21.21,-159.78,75.2,73,20,10.29,few clouds,0.0,0.0,2020-07-09 18:44:52
6,Georgetown,MY,5.41,100.34,80.6,94,20,3.87,few clouds,0.0,0.0,2020-07-09 18:44:52
7,Punta Arenas,CL,-53.15,-70.92,37.4,77,99,23.04,overcast clouds,0.0,0.0,2020-07-09 18:40:07
8,Rafai,CF,4.95,23.92,70.45,95,55,1.45,broken clouds,0.0,0.0,2020-07-09 18:44:52
9,Vao,NC,-22.67,167.48,67.33,73,0,23.2,clear sky,0.0,0.0,2020-07-09 18:35:06
10,Paamiut,GL,61.99,-49.67,46.69,85,100,23.73,overcast clouds,0.0,0.0,2020-07-09 18:35:04
11,Ushuaia,AR,-54.8,-68.3,37.4,69,20,3.06,few clouds,0.0,0.0,2020-07-09 18:40:28
12,Birin,NP,26.89,88.07,78.8,94,75,3.36,broken clouds,0.0,0.0,2020-07-09 18:35:25
13,Ponta Do Sol,PT,32.67,-17.1,75.2,69,20,16.11,few clouds,0.0,0.0,2020-07-09 18:44:53
14,New Norfolk,AU,-42.78,147.06,35.01,91,31,1.99,scattered clouds,0.0,0.0,2020-07-09 18:44:53
15,Pisco,PE,-13.7,-76.22,66.2,68,90,12.75,overcast clouds,0.0,0.0,2020-07-09 18:41:58
16,Barrow,US,71.29,-156.79,39.2,80,40,11.41,scattered clouds,0.0,0.0,2020-07-09 18:40:02
17,Roma,US,43.21,-75.46,91.4,46,1,3.36,clear sky,0.0,0.0,2020-07-09 18:44:05
18,Port Alfred,ZA,-33.59,26.89,68.0,64,0,7.0,clear sky,0.0,0.0,2020-07-09 18:44:54
19,Karratha,AU,-20.74,116.85,66.22,26,0,11.54,clear sky,0.0,0.0,2020-07-09 18:35:15
20,Thompson,CA,55.74,-97.86,64.4,82,90,12.75,overcast clouds,0.0,0.0,2020-07-09 18:42:05
21,Upernavik,GL,72.79,-56.15,43.32,70,100,8.88,overcast clouds,0.0,0.0,2020-07-09 18:44:55
22,Sibolga,ID,1.74,98.78,78.03,71,100,2.24,overcast clouds,0.0,0.0,2020-07-09 18:44:55
23,Warwick,US,41.7,-71.42,90.0,62,75,10.29,haze,0.0,0.0,2020-07-09 18:44:55
24,Kokopo,PG,-4.35,152.26,77.07,79,66,5.93,broken clouds,0.0,0.0,2020-07-09 18:44:55
25,Esperance,AU,-33.87,121.9,46.4,87,75,5.82,broken clouds,0.0,0.0,2020-07-09 18:44:56
26,Albany,US,42.6,-73.97,93.0,47,1,4.27,clear sky,0.0,0.0,2020-07-09 18:44:56
27,Paranhos,BR,-23.89,-55.43,63.14,51,0,3.83,clear sky,0.0,0.0,2020-07-09 18:44:56
28,Nikolskoye,RU,59.7,30.79,60.01,62,20,11.18,few clouds,0.0,0.0,2020-07-09 18:44:56
29,Alice Springs,AU,-23.7,133.88,41.0,44,0,5.82,clear sky,0.0,0.0,2020-07-09 18:44:41
30,Rikitea,PF,-23.12,-134.97,68.22,64,6,16.98,clear sky,0.0,0.0,2020-07-09 18:44:57
31,Mahon,ES,39.89,4.27,77.0,69,8,9.17,clear sky,0.0,0.0,2020-07-09 18:44:57
32,Balkhash,KZ,46.84,74.98,75.47,44,17,16.91,few clouds,0.0,0.0,2020-07-09 18:44:57
