City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (Inches),Snow (Inches),Date
1,Hambantota,LK,6.12,81.12,78.8,100,40,3.36,scattered clouds,0.0,0.0,2020-07-09 18:44:51
5,Avarua,CK,-21.21,-159.78,75.2,73,20,10.29,few clouds,0.0,0.0,2020-07-09 18:44:52
12,Birin,NP,26.89,88.07,78.8,94,75,3.36,broken clouds,0.0,0.0,2020-07-09 18:35:25
13,Ponta Do Sol,PT,32.67,-17.1,75.2,69,20,16.11,few clouds,0.0,0.0,2020-07-09 18:44:53
22,Sibolga,ID,1.74,98.78,78.03,71,100,2.24,overcast clouds,0.0,0.0,2020-07-09 18:44:55
24,Kokopo,PG,-4.35,152.26,77.07,79,66,5.93,broken clouds,0.0,0.0,2020-07-09 18:44:55
31,Mahon,ES,39.89,4.27,77.0,69,8,9.17,clear sky,0.0,0.0,2020-07-09 18:44:57
32,Balkhash,KZ,46.84,74.98,75.47,44,17,16.91,few clouds,0.0,0.0,2020-07-09 18:44:57
36,Kloulklubed,PW,7.04,134.26,77.0,94,90,3.36,overcast clouds,0.0,0.0,2020-07-09 18:44:58
45,Caravelas,BR,-17.71,-39.25,77.45,67,0,8.21,clear sky,0.0,0.0,2020-07-09 18:45:00
51,Kilindoni,TZ,-7.91,39.67,77.45,83,6,14.99,light rain,0.0,0.0,2020-07-09 18:45:02
55,Atuona,PF,-9.8,-139.03,79.59,77,4,15.05,clear sky,0.0,0.0,2020-07-09 18:45:03
62,Harper,LR,4.38,-7.72,76.55,83,100,10.51,overcast clouds,0.0,0.0,2020-07-09 18:45:04
69,Buchanan,LR,5.88,-10.05,77.0,94,75,4.7,light intensity drizzle,0.0,0.0,2020-07-09 18:45:06
83,Faya,SA,18.39,42.45,78.8,41,20,3.42,few clouds,0.0,0.0,2020-07-09 18:45:09
95,Alexandria,EG,31.22,29.96,78.28,82,62,10.67,broken clouds,0.0,0.0,2020-07-09 18:45:11
98,Kapaa,US,22.08,-159.32,78.8,78,90,19.46,light rain,0.0,0.0,2020-07-09 18:45:12
101,Hilo,US,19.73,-155.09,77.0,78,90,6.93,overcast clouds,0.0,0.0,2020-07-09 18:45:12
106,Haldibari,IN,26.33,88.77,78.8,94,75,3.36,broken clouds,0.0,0.0,2020-07-09 18:45:14
116,Boende,CD,-0.22,20.87,78.42,73,100,2.75,overcast clouds,0.0,0.0,2020-07-09 18:45:16
127,Katsuura,JP,35.13,140.3,75.0,96,98,4.0,overcast clouds,0.0,0.0,2020-07-09 18:45:18
130,Porto Novo,BJ,6.5,2.6,78.8,88,40,8.05,scattered clouds,0.0,0.0,2020-07-09 18:35:23
134,Surt,LY,31.21,16.59,76.5,84,0,13.62,clear sky,0.0,0.0,2020-07-09 18:45:20
135,Sri Aman,MY,1.24,111.46,75.2,100,100,2.24,light rain,0.0,0.0,2020-07-09 18:45:20
145,Hadgaon,IN,19.5,77.67,77.86,84,100,15.88,light rain,0.0,0.0,2020-07-09 18:45:22
148,Hasaki,JP,35.73,140.83,75.2,94,75,2.24,broken clouds,0.0,0.0,2020-07-09 18:45:22
162,Muros,ES,42.78,-9.06,75.0,58,8,14.0,clear sky,0.0,0.0,2020-07-09 18:45:25
165,Sao Filipe,CV,14.9,-24.5,76.8,82,15,18.54,few clouds,0.0,0.0,2020-07-09 18:45:26
176,Faanui,PF,-16.48,-151.75,76.42,80,84,25.1,broken clouds,0.0,0.0,2020-07-09 18:45:28
182,Kisangani,CD,0.52,25.2,75.87,79,6,2.21,light rain,0.0,0.0,2020-07-09 18:45:29
183,Axim,GH,4.87,-2.24,75.85,89,100,7.63,overcast clouds,0.0,0.0,2020-07-09 18:45:30
184,Dingle,PH,11.0,122.67,77.02,88,99,2.62,light rain,0.0,0.0,2020-07-09 18:45:30
186,Puerto Del Rosario,ES,28.5,-13.86,75.2,73,9,18.34,clear sky,0.0,0.0,2020-07-09 18:45:17
211,Arraial Do Cabo,BR,-22.97,-42.03,75.2,78,40,14.99,scattered clouds,0.0,0.0,2020-07-09 18:45:36
216,Tautira,PF,-17.73,-149.15,77.0,65,20,2.24,few clouds,0.0,0.0,2020-07-09 18:45:37
222,Bandarbeyla,SO,9.49,50.81,79.14,75,100,32.55,overcast clouds,0.0,0.0,2020-07-09 18:45:38
228,Benghazi,LY,32.12,20.07,77.36,79,0,21.79,clear sky,0.0,0.0,2020-07-09 18:40:56
230,Huangmei,CN,30.19,116.03,75.45,87,100,4.38,overcast clouds,0.0,0.0,2020-07-09 18:45:40
238,Bagnara Calabra,IT,38.29,15.81,78.8,83,40,4.7,scattered clouds,0.0,0.0,2020-07-09 18:45:41
239,Ternate,ID,0.8,127.4,79.59,79,46,4.25,light rain,0.0,0.0,2020-07-09 18:45:41
