City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saldanha,ZA,2020-07-06 19:46:35,-33.01,17.94,59.0,82,33,2.24
1,Divnomorskoye,RU,2020-07-06 19:46:35,44.5,38.14,79.92,57,0,9.1
2,Santiago,CL,2020-07-06 19:44:38,-33.46,-70.65,53.6,62,75,2.24
3,Kalmunai,LK,2020-07-06 19:46:35,7.42,81.82,80.64,72,14,5.91
4,Busselton,AU,2020-07-06 19:46:35,-33.65,115.33,55.99,63,66,14.97
5,Atuona,PF,2020-07-06 19:46:36,-9.8,-139.03,78.91,76,4,13.02
6,Ust-Uda,RU,2020-07-06 19:46:36,54.17,103.03,64.98,41,100,1.32
7,Bredasdorp,ZA,2020-07-06 19:46:36,-34.53,20.04,59.0,77,0,9.17
8,Belyy Yar,RU,2020-07-06 19:46:36,53.6,91.39,57.2,100,97,2.37
9,Yellowknife,CA,2020-07-06 19:45:16,62.46,-114.35,66.2,42,75,19.46
10,Hami,CN,2020-07-06 19:46:37,42.8,93.45,84.99,19,100,16.64
11,San Luis,AR,2020-07-06 19:46:17,-33.3,-66.34,50.65,48,84,3.85
12,Sirjan,IR,2020-07-06 19:46:37,29.45,55.68,74.59,24,0,7.78
13,Albany,US,2020-07-06 19:41:50,42.6,-73.97,89.01,32,5,5.1
14,Okha,RU,2020-07-06 19:46:37,53.57,142.95,48.16,97,100,17.69
15,Mahebourg,MU,2020-07-06 19:46:38,-20.41,57.7,73.4,94,75,4.7
16,Alekseyevsk,RU,2020-07-06 19:46:38,57.84,108.35,55.94,58,26,3.15
17,Mar Del Plata,AR,2020-07-06 19:44:06,-38.0,-57.56,48.2,70,75,10.29
18,Bluff,NZ,2020-07-06 19:46:38,-46.6,168.33,47.19,75,97,18.16
19,Yokadouma,CM,2020-07-06 19:46:39,3.52,15.05,71.64,94,100,0.69
20,Hithadhoo,MV,2020-07-06 19:46:39,-0.6,73.08,83.8,78,41,20.51
21,Rocha,UY,2020-07-06 19:46:39,-34.48,-54.33,48.67,79,3,6.06
22,Carnarvon,AU,2020-07-06 19:46:39,-24.87,113.63,60.8,77,0,12.75
23,Dunedin,NZ,2020-07-06 19:42:27,-45.87,170.5,46.99,93,100,7.0
24,Hofn,IS,2020-07-06 19:46:40,64.25,-15.21,55.4,66,20,13.87
25,Barrow,US,2020-07-06 19:46:40,71.29,-156.79,33.8,76,90,13.87
26,Nanortalik,GL,2020-07-06 19:46:40,60.14,-45.24,42.96,85,97,5.77
27,Isfana,KG,2020-07-06 19:46:40,39.84,69.53,71.6,40,0,4.47
28,Sitka,US,2020-07-06 19:46:41,57.05,-135.33,57.2,82,75,11.41
29,Shimoda,JP,2020-07-06 19:46:41,34.67,138.95,73.0,94,91,1.01
30,Cherskiy,RU,2020-07-06 19:46:41,68.75,161.3,55.54,73,58,16.8
31,Tabou,CI,2020-07-06 19:46:41,4.42,-7.35,74.26,80,86,6.82
32,San Javier,ES,2020-07-06 19:43:47,37.81,-0.84,82.0,54,0,4.7
33,Hermanus,ZA,2020-07-06 19:46:42,-34.42,19.23,59.0,85,3,8.01
34,Rikitea,PF,2020-07-06 19:46:42,-23.12,-134.97,73.71,81,93,9.1
35,Mandera,KE,2020-07-06 19:46:42,3.94,41.87,81.88,49,100,21.09
36,Cape Town,ZA,2020-07-06 19:46:42,-33.93,18.42,61.0,93,75,11.41
37,Hobart,AU,2020-07-06 19:42:20,-42.88,147.33,42.8,70,90,6.93
38,Kigoma,TZ,2020-07-06 19:46:43,-4.88,29.63,73.4,73,75,2.62
39,Iqaluit,CA,2020-07-06 19:42:20,63.75,-68.51,53.6,66,20,6.93
40,Aurdal,NO,2020-07-06 19:46:43,60.92,9.42,43.0,68,100,5.01
41,Georgetown,MY,2020-07-06 19:46:43,5.41,100.34,78.8,94,20,3.36
42,Port Blair,IN,2020-07-06 19:46:44,11.67,92.75,82.51,81,99,12.77
43,Thompson,CA,2020-07-06 19:46:44,55.74,-97.86,66.2,82,75,13.87
44,Lebu,CL,2020-07-06 19:46:44,-37.62,-73.65,49.73,60,2,5.26
45,Tasiilaq,GL,2020-07-06 19:46:44,65.61,-37.64,42.8,75,23,9.17
46,Airai,TL,2020-07-06 19:46:45,-8.93,125.41,55.67,100,17,3.71
47,Avarua,CK,2020-07-06 19:46:45,-21.21,-159.78,73.4,69,100,13.87
48,Ushuaia,AR,2020-07-06 19:44:06,-54.8,-68.3,33.8,80,1,6.49
49,Port Alfred,ZA,2020-07-06 19:46:45,-33.59,26.89,66.99,34,0,3.0
50,Vaini,TO,2020-07-06 19:46:45,-21.2,-175.2,75.2,94,75,9.17
51,Kargasok,RU,2020-07-06 19:46:46,59.06,80.86,58.64,83,45,5.28
52,Manicore,BR,2020-07-06 19:46:46,-5.81,-61.3,91.4,55,69,5.82
53,Kodiak,US,2020-07-06 19:46:46,57.79,-152.41,55.4,93,75,6.06
54,Axim,GH,2020-07-06 19:46:46,4.87,-2.24,76.05,87,77,8.93
55,Itarema,BR,2020-07-06 19:46:46,-2.92,-39.92,80.01,79,77,10.67
56,Torbay,CA,2020-07-06 19:46:46,47.67,-52.73,57.0,81,75,9.17
57,Ambovombe,MG,2020-07-06 19:46:47,-25.17,46.08,65.95,86,20,9.24
58,Altay,CN,2020-07-06 19:46:47,47.87,88.12,58.73,58,59,0.94
59,Hilo,US,2020-07-06 19:46:47,19.73,-155.09,78.8,69,90,8.05
60,Coihaique,CL,2020-07-06 19:46:47,-45.58,-72.07,35.6,74,75,4.7
61,Grindavik,IS,2020-07-06 19:42:33,63.84,-22.43,53.6,71,40,12.75
62,Alikalia,SL,2020-07-06 19:46:48,9.17,-11.4,71.87,96,74,3.44
63,Ust-Maya,RU,2020-07-06 19:46:48,60.42,134.53,52.14,92,0,0.6
64,Ilulissat,GL,2020-07-06 19:46:48,69.22,-51.1,46.4,75,75,4.7
65,Punta Arenas,CL,2020-07-06 19:45:55,-53.15,-70.92,30.2,92,40,6.93
66,Izhma,RU,2020-07-06 19:46:49,65.01,53.91,65.1,88,98,6.96
67,Castro,BR,2020-07-06 19:46:49,-24.79,-50.01,63.91,84,69,2.44
68,Leh,IN,2020-07-06 19:46:49,34.17,77.58,57.96,33,0,5.59
69,Dawson,US,2020-07-06 19:42:02,31.77,-84.45,78.8,94,90,11.41
70,Ponta Do Sol,PT,2020-07-06 19:46:50,32.67,-17.1,75.2,78,20,4.7
71,Yulara,AU,2020-07-06 19:46:50,-25.24,130.99,39.2,64,0,5.82
72,Maceio,BR,2020-07-06 19:46:11,-9.67,-35.74,78.8,65,40,11.41
73,Szendro,HU,2020-07-06 19:46:50,48.4,20.73,69.8,83,75,24.16
74,Sao Joao Da Barra,BR,2020-07-06 19:46:50,-21.64,-41.05,86.0,42,0,6.93
75,Kapoeta,SS,2020-07-06 19:46:50,4.77,33.59,72.05,84,99,3.42
76,Tuktoyaktuk,CA,2020-07-06 19:46:51,69.45,-133.04,44.6,81,90,11.41
77,East London,ZA,2020-07-06 19:46:26,-33.02,27.91,73.11,21,0,10.04
78,Touros,BR,2020-07-06 19:46:51,-5.2,-35.46,78.8,88,75,8.05
79,Qaanaaq,GL,2020-07-06 19:46:51,77.48,-69.36,46.49,55,0,1.03
80,Wahpeton,US,2020-07-06 19:46:51,46.27,-96.61,79.0,57,0,5.82
81,Leningradskiy,RU,2020-07-06 19:46:52,69.38,178.42,44.74,78,79,4.72
82,Amapa,BR,2020-07-06 19:46:52,1.0,-52.0,78.46,95,74,3.27
83,Bubaque,GW,2020-07-06 19:46:52,11.28,-15.83,80.82,83,15,13.18
84,Constitucion,CL,2020-07-06 19:42:26,-35.33,-72.42,53.02,65,93,3.98
